codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
39747,39747,INCIDENTE,CAIRU,BA,SNCL,31/01/2010,19:47:00,4
39787,39787,INCIDENTE,GOIÂNIA,GO,SBGO,31/01/2010,21:00:00,0
39748,39748,INCIDENTE,CAMBÉ,PR,****,03/02/2010,14:30:00,0
39316,39316,ACIDENTE,RIO DO OESTE,SC,****,04/02/2010,17:55:00,2
39155,39155,INCIDENTE,BELO HORIZONTE,MG,****,05/02/2010,12:55:00,0
39176,39176,INCIDENTE,SÃO LUÍS,MA,****,05/02/2010,09:30:00,0
39235,39235,ACIDENTE,ITUMBIARA,GO,****,06/02/2010,17:20:00,3
39295,39295,ACIDENTE,RIO DE JANEIRO,RJ,****,06/02/2010,21:09:00,0
40207,40207,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,06/02/2010,22:30:00,0
39115,39115,ACIDENTE,CORRENTINA,BA,SNTY,07/02/2010,17:40:00,2
39367,39367,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,07/02/2010,22:59:00,0
39405,39405,ACIDENTE,ITIQUIRA,MT,****,07/02/2010,11:30:00,1
40290,40290,INCIDENTE,VITÓRIA,ES,SBVT,07/02/2010,02:09:00,0
39178,39178,INCIDENTE,CAMPINAS,SP,****,08/02/2010,12:33:00,0
39972,39972,INCIDENTE,POÇOS DE CALDAS,MG,SBPC,08/02/2010,13:55:00,0
39969,39969,INCIDENTE,SALVADOR,BA,SBSV,09/02/2010,23:50:00,4
39275,39275,ACIDENTE,SÃO PAULO,SP,****,10/02/2010,09:03:00,3
39967,39967,INCIDENTE,TEIXEIRA DE FREITAS,BA,****,11/02/2010,15:01:00,0
39365,39365,INCIDENTE,GOIÂNIA,GO,****,12/02/2010,16:48:00,0
41377,41377,ACIDENTE,SERRA NEGRA,SP,****,14/02/2010,17:30:00,0
39930,39930,INCIDENTE GRAVE,CURITIBA,PR,SBCT,16/02/2010,16:25:00,2
39992,39992,ACIDENTE,SÃO PAULO,SP,SBMT,17/02/2010,20:07:00,11
39386,39386,INCIDENTE,SÃO PAULO,SP,****,18/02/2010,10:10:00,0
40325,40325,INCIDENTE GRAVE,EXU,PE,****,19/02/2010,10:20:00,0
39385,39385,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,21/02/2010,17:00:00,1
39988,39988,INCIDENTE,CURITIBA,PR,SBBI,22/02/2010,16:00:00,0
40318,40318,INCIDENTE,JUIZ DE FORA,MG,****,22/02/2010,13:47:00,0
39727,39727,INCIDENTE GRAVE,VÁRZEA GRANDE,MT,SBCY,23/02/2010,19:42:00,0
39317,39317,ACIDENTE,RIO VERDE,GO,SWLC,24/02/2010,13:00:00,0
39987,39987,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,24/02/2010,19:37:00,0
41181,41181,INCIDENTE,CASCAVEL,PR,SBCA,25/02/2010,11:17:00,0
39933,39933,ACIDENTE,BELO HORIZONTE,MG,****,26/02/2010,11:19:00,1
40296,40296,INCIDENTE,CURITIBA,PR,****,26/02/2010,22:32:00,0
40316,40316,INCIDENTE GRAVE,TIMÓTEO,MG,****,26/02/2010,14:40:00,3
40331,40331,INCIDENTE,CAMPINAS,SP,****,28/02/2010,09:00:00,0
40314,40314,INCIDENTE,SÃO PAULO,SP,****,04/03/2010,23:50:00,0
39916,39916,INCIDENTE GRAVE,MANAUS,AM,SBEG,07/03/2010,19:35:00,2
39910,39910,INCIDENTE,GUARULHOS,SP,SBGR,08/03/2010,00:49:00,0
39887,39887,ACIDENTE,BELO HORIZONTE,MG,SBPR,09/03/2010,17:45:00,1
39914,39914,INCIDENTE,LONDRINA,PR,SBLO,09/03/2010,21:00:00,0
40312,40312,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,09/03/2010,19:18:00,0
39913,39913,INCIDENTE GRAVE,RIO BRANCO,AC,SBRB,10/03/2010,06:17:00,3
40150,40150,INCIDENTE GRAVE,SANTA MARIA,RS,SBSM,10/03/2010,17:20:00,0
40273,40273,INCIDENTE,RIO BRANCO,AC,SBRB,10/03/2010,14:30:00,0
39993,39993,INCIDENTE GRAVE,LONDRINA,PR,SBLO,11/03/2010,12:30:00,2
